invoice,stockcode
1000,galletas
1000,azucar
1000,chocolate
1000,licor
1000,yogurt
1000,queso
1000,arroz
1000,pollo
1001,galletas
1001,arroz
1001,licor
1001,yogurt
1001,panaderia
1001,carne
1001,frutas
1001,pollo
1001,soda
1001,azucar
1001,helado
1001,panela
1001,enlatados
1002,galletas
1002,azucar
1002,water
1002,panaderia
1002,yogurt
1002,arroz
1002,pollo
1002,postres
1003,yogurt
1003,chocolate
1003,licor
1003,galletas
1003,azucar
1003,arroz
1003,cuidado personal
1003,harina
1004,yogurt
1004,water
1004,azucar
1004,papas
1004,licor
1004,chocolate
1004,arroz
1004,sal
1004,panaderia
1004,galletas
1004,harina
1005,water
1005,yogurt
1005,sal
1005,galletas
1005,huevos
1005,azucar
1005,cuidado personal
1005,arroz
1005,chocolate
1005,queso
1006,chocolate
1006,licor
1006,galletas
1006,arroz
1006,postres
1006,sal
1006,queso
1006,panaderia
1006,azucar
1006,yogurt
1006,water
1006,pollo
1007,galletas
1007,panela
1007,frutas
1007,yogurt
1007,azucar
1007,water
1007,sal
1007,queso
1007,pasta
1007,pollo
1007,carne
1008,yogurt
1008,licor
1008,galletas
1008,azucar
1008,chocolate
1008,water
1008,postres
1008,papas
1008,sal
1008,helado
1008,arroz
1008,panaderia
1009,azucar
1009,galletas
1009,enlatados
1009,helado
1009,aseo
1009,panaderia
1009,chocolate
1009,licor
1010,galletas
1010,helado
1010,queso
1010,harina
1010,granos
1010,yogurt
1010,panela
1010,azucar
1010,licor
1010,pollo
1011,azucar
1011,yogurt
1011,galletas
1011,queso
1011,margarina
1011,licor
1011,panela
1011,cuidado personal
1011,chocolate
1012,chocolate
1012,galletas
1012,azucar
1012,arroz
1012,panaderia
1012,sal
1012,enlatados
1012,helado
1012,pollo
1013,chocolate
1013,aceite
1013,water
1013,panela
1013,licor
1013,postres
1013,azucar
1013,galletas
1013,arroz
1013,yogurt
1013,panaderia
1013,carne
1013,pollo
1014,helado
1014,azucar
1014,galletas
1014,panaderia
1014,yogurt
1014,harina
1014,chocolate
1014,water
1014,carne
1014,enlatados
1014,queso
1014,postres
1015,galletas
1015,yogurt
1015,azucar
1015,helado
